oil_price,year,month,location,oil_price_lag_1m,oil_price_lag_2m,oil_price_lag_3m,oil_price_lag_4m,oil_price_lag_5m,oil_price_lag_6m
93.98238095238096,2012,6,AUS,108.07260869565218,118.184,122.97363636363637,117.47904761904762,111.76095238095238,107.34428571428572
99.54590909090908,2012,7,AUS,93.98238095238096,108.07260869565218,118.184,122.97363636363637,117.47904761904762,111.76095238095238
109.51739130434783,2012,8,AUS,99.54590909090908,93.98238095238096,108.07260869565218,118.184,122.97363636363637,117.47904761904762
110.674,2012,9,AUS,109.51739130434783,99.54590909090908,93.98238095238096,108.07260869565218,118.184,122.97363636363637
108.35608695652174,2012,10,AUS,110.674,109.51739130434783,99.54590909090908,93.98238095238096,108.07260869565218,118.184
106.855,2012,11,AUS,108.35608695652174,110.674,109.51739130434783,99.54590909090908,93.98238095238096,108.07260869565218
106.549,2012,12,AUS,106.855,108.35608695652174,110.674,109.51739130434783,99.54590909090908,93.98238095238096
109.2840909090909,2013,1,AUS,106.549,106.855,108.35608695652174,110.674,109.51739130434783,99.54590909090908
112.745,2013,2,AUS,109.2840909090909,106.549,106.855,108.35608695652174,110.674,109.51739130434783
106.44200000000001,2013,3,AUS,112.745,109.2840909090909,106.549,106.855,108.35608695652174,110.674
101.05409090909092,2013,4,AUS,106.44200000000001,112.745,109.2840909090909,106.549,106.855,108.35608695652174
100.65130434782608,2013,5,AUS,101.05409090909092,106.44200000000001,112.745,109.2840909090909,106.549,106.855
101.03,2013,6,AUS,100.65130434782608,101.05409090909092,106.44200000000001,112.745,109.2840909090909,106.549
104.45217391304348,2013,7,AUS,101.03,100.65130434782608,101.05409090909092,106.44200000000001,112.745,109.2840909090909
107.5190909090909,2013,8,AUS,104.45217391304348,101.03,100.65130434782608,101.05409090909092,106.44200000000001,112.745
108.7304761904762,2013,9,AUS,107.5190909090909,104.45217391304348,101.03,100.65130434782608,101.05409090909092,106.44200000000001
106.68652173913043,2013,10,AUS,108.7304761904762,107.5190909090909,104.45217391304348,101.03,100.65130434782608,101.05409090909092
104.96809523809523,2013,11,AUS,106.68652173913043,108.7304761904762,107.5190909090909,104.45217391304348,101.03,100.65130434782608
107.67249999999999,2013,12,AUS,104.96809523809523,106.68652173913043,108.7304761904762,107.5190909090909,104.45217391304348,101.03
104.70818181818181,2014,1,AUS,107.67249999999999,104.96809523809523,106.68652173913043,108.7304761904762,107.5190909090909,104.45217391304348
105.3815,2014,2,AUS,104.70818181818181,107.67249999999999,104.96809523809523,106.68652173913043,108.7304761904762,107.5190909090909
104.14714285714287,2014,3,AUS,105.3815,104.70818181818181,107.67249999999999,104.96809523809523,106.68652173913043,108.7304761904762
104.26809523809524,2014,4,AUS,104.14714285714287,105.3815,104.70818181818181,107.67249999999999,104.96809523809523,106.68652173913043
105.43909090909091,2014,5,AUS,104.26809523809524,104.14714285714287,105.3815,104.70818181818181,107.67249999999999,104.96809523809523
107.89238095238095,2014,6,AUS,105.43909090909091,104.26809523809524,104.14714285714287,105.3815,104.70818181818181,107.67249999999999
105.60826086956521,2014,7,AUS,107.89238095238095,105.43909090909091,104.26809523809524,104.14714285714287,105.3815,104.70818181818181
100.7547619047619,2014,8,AUS,105.60826086956521,107.89238095238095,105.43909090909091,104.26809523809524,104.14714285714287,105.3815
95.98136363636364,2014,9,AUS,100.7547619047619,105.60826086956521,107.89238095238095,105.43909090909091,104.26809523809524,104.14714285714287
85.0604347826087,2014,10,AUS,95.98136363636364,100.7547619047619,105.60826086956521,107.89238095238095,105.43909090909091,104.26809523809524
75.566,2014,11,AUS,85.0604347826087,95.98136363636364,100.7547619047619,105.60826086956521,107.89238095238095,105.43909090909091
59.311818181818175,2014,12,AUS,75.566,85.0604347826087,95.98136363636364,100.7547619047619,105.60826086956521,107.89238095238095
44.378571428571426,2015,1,AUS,59.311818181818175,75.566,85.0604347826087,95.98136363636364,100.7547619047619,105.60826086956521
54.062,2015,2,AUS,44.378571428571426,59.311818181818175,75.566,85.0604347826087,95.98136363636364,100.7547619047619
52.45727272727272,2015,3,AUS,54.062,44.378571428571426,59.311818181818175,75.566,85.0604347826087,95.98136363636364
57.11181818181819,2015,4,AUS,52.45727272727272,54.062,44.378571428571426,59.311818181818175,75.566,85.0604347826087
62.15571428571428,2015,5,AUS,57.11181818181819,52.45727272727272,54.062,44.378571428571426,59.311818181818175,75.566
60.21136363636364,2015,6,AUS,62.15571428571428,57.11181818181819,52.45727272727272,54.062,44.378571428571426,59.311818181818175
54.18869565217391,2015,7,AUS,60.21136363636364,62.15571428571428,57.11181818181819,52.45727272727272,54.062,44.378571428571426
45.46095238095238,2015,8,AUS,54.18869565217391,60.21136363636364,62.15571428571428,57.11181818181819,52.45727272727272,54.062
44.82681818181818,2015,9,AUS,45.46095238095238,54.18869565217391,60.21136363636364,62.15571428571428,57.11181818181819,52.45727272727272
45.02181818181818,2015,10,AUS,44.82681818181818,45.46095238095238,54.18869565217391,60.21136363636364,62.15571428571428,57.11181818181819
40.49619047619048,2015,11,AUS,45.02181818181818,44.82681818181818,45.46095238095238,54.18869565217391,60.21136363636364,62.15571428571428
33.63772727272727,2015,12,AUS,40.49619047619048,45.02181818181818,44.82681818181818,45.46095238095238,54.18869565217391,60.21136363636364
26.503500000000003,2016,1,AUS,33.63772727272727,40.49619047619048,45.02181818181818,44.82681818181818,45.46095238095238,54.18869565217391
28.719047619047622,2016,2,AUS,26.503500000000003,33.63772727272727,40.49619047619048,45.02181818181818,44.82681818181818,45.46095238095238
34.65304347826087,2016,3,AUS,28.719047619047622,26.503500000000003,33.63772727272727,40.49619047619048,45.02181818181818,44.82681818181818
37.859047619047615,2016,4,AUS,34.65304347826087,28.719047619047622,26.503500000000003,33.63772727272727,40.49619047619048,45.02181818181818
43.210454545454546,2016,5,AUS,37.859047619047615,34.65304347826087,28.719047619047622,26.503500000000003,33.63772727272727,40.49619047619048
45.83727272727273,2016,6,AUS,43.210454545454546,37.859047619047615,34.65304347826087,28.719047619047622,26.503500000000003,33.63772727272727
42.68190476190476,2016,7,AUS,45.83727272727273,43.210454545454546,37.859047619047615,34.65304347826087,28.719047619047622,26.503500000000003
43.10173913043479,2016,8,AUS,42.68190476190476,45.83727272727273,43.210454545454546,37.859047619047615,34.65304347826087,28.719047619047622
42.88590909090909,2016,9,AUS,43.10173913043479,42.68190476190476,45.83727272727273,43.210454545454546,37.859047619047615,34.65304347826087
47.86761904761905,2016,10,AUS,42.88590909090909,43.10173913043479,42.68190476190476,45.83727272727273,43.210454545454546,37.859047619047615
43.21818181818182,2016,11,AUS,47.86761904761905,42.88590909090909,43.10173913043479,42.68190476190476,45.83727272727273,43.210454545454546
51.67333333333334,2016,12,AUS,43.21818181818182,47.86761904761905,42.88590909090909,43.10173913043479,42.68190476190476,45.83727272727273
52.39714285714285,2017,1,AUS,51.67333333333334,43.21818181818182,47.86761904761905,42.88590909090909,43.10173913043479,42.68190476190476
53.3695,2017,2,AUS,52.39714285714285,51.67333333333334,43.21818181818182,47.86761904761905,42.88590909090909,43.10173913043479
50.31782608695652,2017,3,AUS,53.3695,52.39714285714285,51.67333333333334,43.21818181818182,47.86761904761905,42.88590909090909
51.368947368421054,2017,4,AUS,50.31782608695652,53.3695,52.39714285714285,51.67333333333334,43.21818181818182,47.86761904761905
49.203043478260874,2017,5,AUS,51.368947368421054,50.31782608695652,53.3695,52.39714285714285,51.67333333333334,43.21818181818182
45.208636363636366,2017,6,AUS,49.203043478260874,51.368947368421054,50.31782608695652,53.3695,52.39714285714285,51.67333333333334
46.93142857142857,2017,7,AUS,45.208636363636366,49.203043478260874,51.368947368421054,50.31782608695652,53.3695,52.39714285714285
49.60173913043478,2017,8,AUS,46.93142857142857,45.208636363636366,49.203043478260874,51.368947368421054,50.31782608695652,53.3695
53.43619047619048,2017,9,AUS,49.60173913043478,46.93142857142857,45.208636363636366,49.203043478260874,51.368947368421054,50.31782608695652
55.50181818181818,2017,10,AUS,53.43619047619048,49.60173913043478,46.93142857142857,45.208636363636366,49.203043478260874,51.368947368421054
60.73909090909091,2017,11,AUS,55.50181818181818,53.43619047619048,49.60173913043478,46.93142857142857,45.208636363636366,49.203043478260874
62.062,2017,12,AUS,60.73909090909091,55.50181818181818,53.43619047619048,49.60173913043478,46.93142857142857,45.208636363636366
66.85272727272728,2018,1,AUS,62.062,60.73909090909091,55.50181818181818,53.43619047619048,49.60173913043478,46.93142857142857
63.4775,2018,2,AUS,66.85272727272728,62.062,60.73909090909091,55.50181818181818,53.43619047619048,49.60173913043478
63.75761904761905,2018,3,AUS,63.4775,66.85272727272728,62.062,60.73909090909091,55.50181818181818,53.43619047619048
68.42714285714285,2018,4,AUS,63.75761904761905,63.4775,66.85272727272728,62.062,60.73909090909091,55.50181818181818
74.11304347826086,2018,5,AUS,68.42714285714285,63.75761904761905,63.4775,66.85272727272728,62.062,60.73909090909091
73.22047619047619,2018,6,AUS,74.11304347826086,68.42714285714285,63.75761904761905,63.4775,66.85272727272728,62.062
73.26636363636364,2018,7,AUS,73.22047619047619,74.11304347826086,68.42714285714285,63.75761904761905,63.4775,66.85272727272728
72.25739130434783,2018,8,AUS,73.26636363636364,73.22047619047619,74.11304347826086,68.42714285714285,63.75761904761905,63.4775
77.179,2018,9,AUS,72.25739130434783,73.26636363636364,73.22047619047619,74.11304347826086,68.42714285714285,63.75761904761905
79.38695652173914,2018,10,AUS,77.179,72.25739130434783,73.26636363636364,73.22047619047619,74.11304347826086,68.42714285714285
65.33227272727272,2018,11,AUS,79.38695652173914,77.179,72.25739130434783,73.26636363636364,73.22047619047619,74.11304347826086
56.943333333333335,2018,12,AUS,65.33227272727272,79.38695652173914,77.179,72.25739130434783,73.26636363636364,73.22047619047619
58.73909090909091,2019,1,AUS,56.943333333333335,65.33227272727272,79.38695652173914,77.179,72.25739130434783,73.26636363636364
63.8255,2019,2,AUS,58.73909090909091,56.943333333333335,65.33227272727272,79.38695652173914,77.179,72.25739130434783
66.36904761904762,2019,3,AUS,63.8255,58.73909090909091,56.943333333333335,65.33227272727272,79.38695652173914,77.179
70.78476190476191,2019,4,AUS,66.36904761904762,63.8255,58.73909090909091,56.943333333333335,65.33227272727272,79.38695652173914
69.96565217391304,2019,5,AUS,70.78476190476191,66.36904761904762,63.8255,58.73909090909091,56.943333333333335,65.33227272727272
62.916999999999994,2019,6,AUS,69.96565217391304,70.78476190476191,66.36904761904762,63.8255,58.73909090909091,56.943333333333335
64.70695652173913,2019,7,AUS,62.916999999999994,69.96565217391304,70.78476190476191,66.36904761904762,63.8255,58.73909090909091
59.620000000000005,2019,8,AUS,64.70695652173913,62.916999999999994,69.96565217391304,70.78476190476191,66.36904761904762,63.8255
62.35666666666667,2019,9,AUS,59.620000000000005,64.70695652173913,62.916999999999994,69.96565217391304,70.78476190476191,66.36904761904762
59.90869565217392,2019,10,AUS,62.35666666666667,59.620000000000005,64.70695652173913,62.916999999999994,69.96565217391304,70.78476190476191
62.944761904761904,2019,11,AUS,59.90869565217392,62.35666666666667,59.620000000000005,64.70695652173913,62.916999999999994,69.96565217391304
66.47904761904762,2019,12,AUS,62.944761904761904,59.90869565217392,62.35666666666667,59.620000000000005,64.70695652173913,62.916999999999994
65.10318181818182,2020,1,AUS,66.47904761904762,62.944761904761904,59.90869565217392,62.35666666666667,59.620000000000005,64.70695652173913
55.527,2020,2,AUS,65.10318181818182,66.47904761904762,62.944761904761904,59.90869565217392,62.35666666666667,59.620000000000005
33.91954545454546,2020,3,AUS,55.527,65.10318181818182,66.47904761904762,62.944761904761904,59.90869565217392,62.35666666666667
17.660476190476192,2020,4,AUS,33.91954545454546,55.527,65.10318181818182,66.47904761904762,62.944761904761904,59.90869565217392
25.170499999999997,2020,5,AUS,17.660476190476192,33.91954545454546,55.527,65.10318181818182,66.47904761904762,62.944761904761904
37.05318181818182,2020,6,AUS,25.170499999999997,17.660476190476192,33.91954545454546,55.527,65.10318181818182,66.47904761904762
43.42434782608696,2020,7,AUS,37.05318181818182,25.170499999999997,17.660476190476192,33.91954545454546,55.527,65.10318181818182
45.19238095238095,2020,8,AUS,43.42434782608696,37.05318181818182,25.170499999999997,17.660476190476192,33.91954545454546,55.527
41.53545454545454,2020,9,AUS,45.19238095238095,43.42434782608696,37.05318181818182,25.170499999999997,17.660476190476192,33.91954545454546
40.07772727272727,2020,10,AUS,41.53545454545454,45.19238095238095,43.42434782608696,37.05318181818182,25.170499999999997,17.660476190476192
42.61190476190476,2020,11,AUS,40.07772727272727,41.53545454545454,45.19238095238095,43.42434782608696,37.05318181818182,25.170499999999997
49.16727272727273,2020,12,AUS,42.61190476190476,40.07772727272727,41.53545454545454,45.19238095238095,43.42434782608696,37.05318181818182
54.38099999999999,2021,1,AUS,49.16727272727273,42.61190476190476,40.07772727272727,41.53545454545454,45.19238095238095,43.42434782608696
61.052499999999995,2021,2,AUS,54.38099999999999,49.16727272727273,42.61190476190476,40.07772727272727,41.53545454545454,45.19238095238095
64.5604347826087,2021,3,AUS,61.052499999999995,54.38099999999999,49.16727272727273,42.61190476190476,40.07772727272727,41.53545454545454
63.24095238095238,2021,4,AUS,64.5604347826087,61.052499999999995,54.38099999999999,49.16727272727273,42.61190476190476,40.07772727272727
66.9095238095238,2021,5,AUS,63.24095238095238,64.5604347826087,61.052499999999995,54.38099999999999,49.16727272727273,42.61190476190476
71.89363636363636,2021,6,AUS,66.9095238095238,63.24095238095238,64.5604347826087,61.052499999999995,54.38099999999999,49.16727272727273
73.52545454545454,2021,7,AUS,71.89363636363636,66.9095238095238,63.24095238095238,64.5604347826087,61.052499999999995,54.38099999999999
70.3340909090909,2021,8,AUS,73.52545454545454,71.89363636363636,66.9095238095238,63.24095238095238,64.5604347826087,61.052499999999995
73.88181818181819,2021,9,AUS,70.3340909090909,73.52545454545454,71.89363636363636,66.9095238095238,63.24095238095238,64.5604347826087
82.10952380952381,2021,10,AUS,73.88181818181819,70.3340909090909,73.52545454545454,71.89363636363636,66.9095238095238,63.24095238095238
80.37045454545455,2021,11,AUS,82.10952380952381,73.88181818181819,70.3340909090909,73.52545454545454,71.89363636363636,66.9095238095238
74.37782608695652,2021,12,AUS,80.37045454545455,82.10952380952381,73.88181818181819,70.3340909090909,73.52545454545454,71.89363636363636
