Subject,LOCATION,Country,Interest-Rate,Year,Month
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,6.15,2001,4
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,5.87,2001,5
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,5.75,2001,6
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,5.75,2001,7
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,5.76,2001,8
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,5.55,2001,9
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,5.25,2001,10
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,4.96,2001,11
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,4.75,2001,12
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,4.75,2002,1
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,4.75,2002,2
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,4.84,2002,3
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,5.11,2002,4
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,5.39,2002,5
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,5.5,2002,6
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,5.73,2002,7
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,5.75,2002,8
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,5.75,2002,9
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,5.75,2002,10
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,5.75,2002,11
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,5.75,2002,12
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,5.75,2003,1
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,5.75,2003,2
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,5.75,2003,3
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,5.7,2003,4
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,5.51,2003,5
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,5.28,2003,6
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,5.19,2003,7
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,5.0,2003,8
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,5.0,2003,9
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,5.0,2003,10
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,5.0,2003,11
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,5.0,2003,12
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,5.03,2004,1
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,5.25,2004,2
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,5.25,2004,3
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,5.28,2004,4
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,5.5,2004,5
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,5.68,2004,6
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,5.77,2004,7
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,6.0,2004,8
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,6.18,2004,9
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,6.28,2004,10
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,6.5,2004,11
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,6.5,2004,12
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,6.5,2005,1
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,6.5,2005,2
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,6.67,2005,3
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,6.75,2005,4
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,6.75,2005,5
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,6.75,2005,6
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,6.75,2005,7
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,6.75,2005,8
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,6.75,2005,9
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,6.79,2005,10
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,7.0,2005,11
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,7.19,2005,12
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,7.25,2006,1
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,7.25,2006,2
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,7.25,2006,3
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,7.25,2006,4
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,7.25,2006,5
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,7.25,2006,6
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,7.25,2006,7
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,7.25,2006,8
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,7.25,2006,9
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,7.35,2006,10
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,7.45,2006,11
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,7.51,2006,12
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,7.41,2007,1
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,7.41,2007,2
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,7.59,2007,3
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,7.7,2007,4
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,7.89,2007,5
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,8.1,2007,6
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,8.2,2007,7
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,8.28,2007,8
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,8.02,2007,9
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,8.07,2007,10
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,8.33,2007,11
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,8.18,2007,12
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,8.16,2008,1
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,8.2,2008,2
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,8.1,2008,3
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,8.05,2008,4
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,8.06,2008,5
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,8.21,2008,6
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,8.03,2008,7
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,7.89,2008,8
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,7.52,2008,9
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,7.1,2008,10
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,6.26,2008,11
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,5.05,2008,12
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,4.66,2009,1
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,3.36,2009,2
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,3.08,2009,3
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,3.01,2009,4
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.37,2009,5
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.45,2009,6
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.43,2009,7
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.53,2009,8
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.58,2009,9
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.49,2009,10
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.41,2009,11
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.43,2009,12
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.42,2010,1
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.32,2010,2
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.35,2010,3
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.28,2010,4
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.32,2010,5
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.49,2010,6
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.68,2010,7
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.88,2010,8
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.91,2010,9
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.94,2010,10
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.91,2010,11
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.88,2010,12
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.92,2011,1
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.91,2011,2
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.5,2011,3
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.5,2011,4
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.45,2011,5
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.46,2011,6
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.4,2011,7
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.44,2011,8
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.39,2011,9
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.33,2011,10
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.34,2011,11
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.34,2011,12
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.4,2012,1
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.41,2012,2
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.43,2012,3
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.45,2012,4
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.44,2012,5
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.43,2012,6
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.5,2012,7
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.52,2012,8
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.49,2012,9
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.48,2012,10
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.49,2012,11
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.51,2012,12
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.45,2013,1
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.49,2013,2
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.47,2013,3
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.42,2013,4
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.48,2013,5
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.47,2013,6
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.43,2013,7
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.49,2013,8
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.5,2013,9
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.5,2013,10
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.49,2013,11
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.5,2013,12
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.52,2014,1
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.51,2014,2
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.65,2014,3
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.79,2014,4
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,3.0,2014,5
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,3.13,2014,6
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,3.28,2014,7
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,3.45,2014,8
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,3.46,2014,9
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,3.42,2014,10
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,3.42,2014,11
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,3.4,2014,12
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,3.42,2015,1
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,3.4,2015,2
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,3.42,2015,3
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,3.44,2015,4
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,3.41,2015,5
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,3.25,2015,6
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,3.07,2015,7
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.9,2015,8
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.76,2015,9
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.68,2015,10
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.65,2015,11
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.55,2015,12
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.39,2016,1
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.37,2016,2
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.21,2016,3
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.17,2016,4
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.16,2016,5
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.16,2016,6
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.11,2016,7
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.06,2016,8
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,1.92,2016,9
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,1.88,2016,10
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,1.74,2016,11
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,1.68,2016,12
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,1.66,2017,1
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,1.71,2017,2
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,1.66,2017,3
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,1.62,2017,4
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,1.67,2017,5
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,1.71,2017,6
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,1.63,2017,7
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,1.65,2017,8
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,1.64,2017,9
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,1.61,2017,10
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,1.64,2017,11
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,1.67,2017,12
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,1.66,2018,1
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,1.67,2018,2
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,1.67,2018,3
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,1.71,2018,4
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,1.73,2018,5
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,1.69,2018,6
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,1.67,2018,7
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,1.71,2018,8
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,1.68,2018,9
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,1.68,2018,10
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,1.72,2018,11
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,1.72,2018,12
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,1.67,2019,1
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,1.73,2019,2
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,1.73,2019,3
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,1.7,2019,4
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,1.51,2019,5
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,1.45,2019,6
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,1.43,2019,7
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,1.1,2019,8
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,0.96,2019,9
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,0.97,2019,10
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,0.99,2019,11
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,0.95,2019,12
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,0.92,2020,1
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,0.93,2020,2
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,0.56,2020,3
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,0.26,2020,4
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,0.25,2020,5
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,0.23,2020,6
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,0.21,2020,7
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,0.15,2020,8
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,0.26,2020,9
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,0.21,2020,10
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,0.22,2020,11
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,0.23,2020,12
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,0.24,2021,1
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,0.24,2021,2
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,0.23,2021,3
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,0.24,2021,4
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,0.22,2021,5
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,0.23,2021,6
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,0.23,2021,7
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,0.21,2021,8
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,0.2,2021,9
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,0.38,2021,10
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,0.54,2021,11
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,0.71,2021,12
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,0.67,2022,1
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,0.73,2022,2
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,0.94,2022,3
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,1.24,2022,4
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,1.53,2022,5
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,1.96,2022,6
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.2,2022,7
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.78,2022,8
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",NZL,New Zealand,2.9,2022,9
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",GBR,United Kingdom,5.3527,2000,1
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",GBR,United Kingdom,5.8408,2000,2
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",GBR,United Kingdom,5.762,2000,3
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",GBR,United Kingdom,5.9347,2000,4
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",GBR,United Kingdom,5.9122,2000,5
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",GBR,United Kingdom,5.9032,2000,6
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",GBR,United Kingdom,5.9867,2000,7
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",GBR,United Kingdom,5.8846,2000,8
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",GBR,United Kingdom,6.1259,2000,9
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",GBR,United Kingdom,5.8135,2000,10
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",GBR,United Kingdom,5.9811,2000,11
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",GBR,United Kingdom,5.7383,2000,12
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",GBR,United Kingdom,5.9208,2001,1
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",GBR,United Kingdom,5.8447,2001,2
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",GBR,United Kingdom,5.4017,2001,3
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",GBR,United Kingdom,5.3159,2001,4
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",GBR,United Kingdom,5.5203,2001,5
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",GBR,United Kingdom,4.7796,2001,6
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",GBR,United Kingdom,5.2943,2001,7
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",GBR,United Kingdom,4.8046,2001,8
