location,interest_rate_long_term,year,month,interest_rate_short_term,interest_rate_immediate_term
USA,2.4,2017,12,1.54,1.3
USA,2.58,2018,1,1.63,1.41
USA,2.86,2018,2,1.78,1.42
USA,2.84,2018,3,2.08,1.51
USA,2.87,2018,4,2.2,1.69
USA,2.98,2018,5,2.16,1.7
USA,2.91,2018,6,2.19,1.82
USA,2.89,2018,7,2.17,1.91
USA,2.89,2018,8,2.19,1.91
USA,3.0,2018,9,2.24,1.95
USA,3.15,2018,10,2.37,2.19
USA,3.12,2018,11,2.56,2.2
USA,2.83,2018,12,2.69,2.27
USA,2.71,2019,1,2.59,2.4
USA,2.68,2019,2,2.49,2.4
USA,2.57,2019,3,2.48,2.41
USA,2.53,2019,4,2.47,2.42
USA,2.4,2019,5,2.44,2.39
USA,2.07,2019,6,2.3,2.38
USA,2.06,2019,7,2.22,2.4
USA,1.63,2019,8,2.06,2.13
USA,1.7,2019,9,2.03,2.04
USA,1.71,2019,10,1.88,1.83
USA,1.81,2019,11,1.77,1.55
USA,1.86,2019,12,1.76,1.55
USA,1.76,2020,1,1.65,1.55
USA,1.5,2020,2,1.59,1.58
USA,0.87,2020,3,1.35,0.65
USA,0.67,2020,5,0.17,0.05
USA,0.73,2020,6,0.2,0.08
USA,0.62,2020,7,0.18,0.09
USA,0.65,2020,8,0.15,0.1
USA,0.68,2020,9,0.13,0.09
USA,0.79,2020,10,0.12,0.09
USA,0.87,2020,11,0.16,0.09
USA,0.93,2020,12,0.17,0.09
USA,1.08,2021,1,0.14,0.09
USA,1.26,2021,2,0.11,0.08
USA,1.61,2021,3,0.1,0.07
USA,1.64,2021,4,0.11,0.07
USA,1.62,2021,5,0.1,0.06
USA,1.52,2021,6,0.09,0.08
USA,1.32,2021,7,0.1,0.1
USA,1.28,2021,8,0.1,0.09
USA,1.37,2021,9,0.1,0.08
USA,1.58,2021,10,0.11,0.08
USA,1.56,2021,11,0.14,0.08
USA,1.47,2021,12,0.17,0.08
USA,1.76,2022,1,0.22,0.08
USA,1.93,2022,2,0.38,0.08
USA,2.13,2022,3,0.73,0.2
USA,2.75,2022,4,0.91,0.33
USA,2.9,2022,5,1.33,0.77
USA,3.14,2022,6,1.87,1.21
USA,2.9,2022,7,2.5,1.68
USA,2.9,2022,8,2.76,2.33
USA,3.52,2022,9,3.21,2.56
