Date,Open,High,Low,Close,Median
30/08/2013,107.81,117.34,105.85,114.01,111.595
31/07/2013,101.9,109.72,101.63,107.7,105.675
28/06/2013,100.15,106.67,99.66,102.16,103.165
31/05/2013,101.82,105.94,98.76,100.39,102.35
30/04/2013,110.15,111.79,96.75,102.37,104.27
29/03/2013,110.9,112.23,106.8,110.02,109.515
28/02/2013,115.77,119.17,110.87,111.38,115.02
31/01/2013,111.5,115.76,109.45,115.55,112.605
31/12/2012,110.96,112.33,106.63,111.11,109.48
30/11/2012,108.49,112.2,104.76,111.23,108.48
31/10/2012,112.34,116.2,106.8,108.7,111.5
28/09/2012,114.7,117.95,107.1,112.39,112.525
31/08/2012,104.4,117.03,104.06,114.57,110.545
31/07/2012,97.6,108.18,95.3,104.92,101.74
29/06/2012,101.69,102.45,88.49,97.8,95.47
31/05/2012,119.28,120.02,101.27,101.87,110.645
30/04/2012,122.94,125.97,116.7,119.47,121.335
30/03/2012,123,128.4,120.97,122.88,124.685
29/02/2012,111.3,125.55,111.02,122.66,118.285
31/01/2012,108.35,115.12,108.35,110.98,111.735
30/12/2011,110.75,111.62,102.37,107.38,106.995
30/11/2011,109.09,116.48,105.65,110.52,111.065
31/10/2011,102,114.8,99.11,109.56,106.955
30/09/2011,114.85,116.6,101.66,102.76,109.13
31/08/2011,117,120.4,98.74,114.85,109.57
29/07/2011,111.8,119.87,109.5,116.74,114.685
30/06/2011,117.07,121.47,102.28,112.48,111.875
31/05/2011,126.1,126.54,105.15,116.73,115.845
29/04/2011,117.61,127.02,116.75,125.89,121.885
31/03/2011,111.9,118.5,107.35,117.36,112.925
28/02/2011,101.01,119.79,97.51,111.8,108.65
31/01/2011,94.75,101.73,92.37,101.01,97.05
31/12/2010,85.71,95.2,85.41,94.75,90.305
30/11/2010,83.13,89.7,82.43,85.92,86.065
29/10/2010,82.21,86.02,80.75,83.15,83.385
30/09/2010,74.46,82.4,74.42,82.31,78.41
31/08/2010,78.11,82.86,71.75,74.64,77.305
30/07/2010,74.65,78.31,70.77,78.18,74.54
30/06/2010,74.82,79.86,70.5,75.01,75.18
31/05/2010,87.44,89.58,68.15,74.65,78.865
30/04/2010,82.44,87.75,82.22,87.44,84.985
31/03/2010,77.69,82.82,76.21,82.7,79.515
26/02/2010,71.35,78.94,67.87,77.59,73.405
29/01/2010,78.49,82.45,71.02,71.46,76.735
31/12/2009,78.42,79.91,71.02,77.93,75.465
30/11/2009,75.24,80.14,73.7,78.47,76.92
30/10/2009,68.92,80.26,65.9,75.2,73.08
30/09/2009,69.65,72.2,64.08,69.07,68.14
31/08/2009,71.98,76,68.85,69.65,72.425
31/07/2009,69.9,72.12,59.49,71.7,65.805
30/06/2009,65.77,73.5,64.91,69.3,69.205
29/05/2009,50.7,65.8,49.96,65.52,57.88
30/04/2009,48.37,54.31,47.26,50.8,50.785
31/03/2009,45.56,53.86,41.3,49.23,47.58
27/02/2009,46.06,48.42,39.35,46.35,43.885
30/01/2009,43.85,52.21,41.6,45.88,46.905
31/12/2008,53,53,36.2,45.59,44.6
28/11/2008,64.3,67.76,47.4,53.49,57.58
31/10/2008,99.45,100.31,59.02,65.32,79.665
30/09/2008,115.5,115.56,88.9,98.17,102.23
29/08/2008,123.42,127.94,110.31,114.05,119.125
31/07/2008,140.44,147.5,120.88,123.98,134.19
30/06/2008,127.22,143.91,121.32,139.83,132.615
30/05/2008,112.74,135.14,108.42,127.78,121.78
30/04/2008,100.5,117.56,98.99,111.36,108.275
31/03/2008,100.12,108.02,96.92,100.3,102.47
29/02/2008,91.5,101.27,86.83,100.1,94.05
31/01/2008,94.47,98.5,85,92.21,91.75
31/12/2007,88.74,95.87,86.56,93.85,91.215
30/11/2007,90.94,96.65,87.55,88.26,92.1
31/10/2007,79.25,91.18,75.64,90.63,83.41
28/09/2007,72.69,81.05,72.69,79.17,76.87
31/08/2007,76.95,77.16,68.14,72.69,72.65
31/07/2007,71.22,78.4,70.92,77.05,74.66
29/06/2007,68.15,72.25,67.61,71.41,69.93
31/05/2007,67.53,71.8,63.8,68.04,67.8
30/04/2007,67.91,69.59,64.76,67.65,67.175
30/03/2007,61.78,69.14,59.79,68.1,64.465
28/02/2007,57.2,62.18,56.1,61.89,59.14
31/01/2007,60.88,61.64,50.75,57.4,56.195
29/12/2006,63.85,64.92,60.04,60.86,62.48
30/11/2006,58.85,64.77,57.75,64.26,61.26
31/10/2006,62.7,62.82,57.39,59.03,60.105
29/09/2006,70.42,70.66,59.32,62.48,64.99
31/08/2006,75.15,78.64,68.82,70.25,73.73
31/07/2006,73.26,78.18,72.11,75.15,75.145
30/06/2006,70.25,73.69,66.33,73.51,70.01
31/05/2006,71.98,74.97,67.63,70.41,71.3
28/04/2006,66.69,74.79,65.73,72.5,70.26
31/03/2006,61.95,67.05,59.26,65.91,63.155
28/02/2006,65.76,67.27,57.9,61.76,62.585
31/01/2006,59.35,67.32,59.08,65.99,63.2
30/12/2005,55,60.4,54.63,58.98,57.515
30/11/2005,58.07,60.65,53.75,55.05,57.2
31/10/2005,63.63,63.96,57.05,58.1,60.505
30/09/2005,66.7,67.88,61,63.48,64.44
31/08/2005,59.85,68.89,59.37,67.02,64.13
29/07/2005,55.7,60.7,55.25,59.37,57.975
30/06/2005,50.85,59.59,50.85,55.58,55.22
31/05/2005,51.78,52.43,47.47,50.73,49.95
29/04/2005,54.52,57.65,50.35,51.09,54
31/03/2005,50.08,56.15,49.05,54.29,52.6
28/02/2005,45.48,50.34,42.46,50.06,46.4
31/01/2005,39.4,47.35,38.81,45.92,43.08
31/12/2004,45.35,45.43,37,40.46,41.215
30/11/2004,49.2,49.6,40.05,45.51,44.825
29/10/2004,46.2,51.95,45.8,48.98,48.875
30/09/2004,39.9,46.8,39.7,46.38,43.25
31/08/2004,39.7,45.15,39.2,39.61,42.175
30/07/2004,34.25,40.05,34.18,40.03,37.115
30/06/2004,37.15,39.12,33.08,34.5,36.1
31/05/2004,35.22,38.9,34.95,36.58,36.925
30/04/2004,32.23,35,29.95,34.48,32.475
31/03/2004,32.33,33.82,31.15,31.51,32.485
27/02/2004,29,32.35,28.44,32.23,30.395
30/01/2004,29.57,32.12,28.81,29.18,30.465
31/12/2003,28.43,31.15,27.76,30.17,29.455
28/11/2003,27.98,30.52,26.97,28.45,28.745
31/10/2003,27.58,31.5,26.75,27.7,29.125
30/09/2003,29.45,29.55,25.05,27.61,27.3
29/08/2003,28.45,30.59,28.02,29.49,29.305
31/07/2003,28.2,29.6,27.21,28.37,28.405
30/06/2003,26.7,28.52,25.8,28.33,27.16
30/05/2003,24,27.01,23.34,26.32,25.175
30/04/2003,27.56,27.56,23.05,23.68,25.305
31/03/2003,32.45,34.55,24,27.18,29.275
28/02/2003,30.89,33.94,30.1,32.79,32.02
31/01/2003,29.3,31.8,27.85,31.1,29.825
31/12/2002,25.35,31.02,25.12,28.66,28.07
29/11/2002,25.77,26.05,22.56,25.16,24.305
31/10/2002,28.85,29.39,25.05,25.72,27.22
30/09/2002,27.4,29.88,26.45,28.75,28.165
30/08/2002,25.35,27.92,24.65,27.47,26.285
31/07/2002,25.5,26.66,24.65,25.44,25.655
28/06/2002,24.1,25.85,23.22,25.58,24.535
31/05/2002,26,27.35,23.93,24.45,25.64
30/04/2002,26.36,28.15,23.81,26.47,25.98
29/03/2002,21.35,25.95,21.2,25.92,23.575
28/02/2002,19.36,21.71,18.8,21.33,20.255
31/01/2002,19.46,22.4,18.23,19.18,20.315
31/12/2001,18.92,20.9,17.7,19.9,19.3
30/11/2001,20.35,21.63,16.65,19.14,19.14
31/10/2001,23.2,23.25,20.05,20.37,21.65
28/09/2001,26.5,31.05,20.7,23.26,25.875
31/08/2001,25.09,26.79,24.5,26.41,25.645
31/07/2001,26.3,26.9,23.97,24.69,25.435
29/06/2001,29.27,30,24.91,26.08,27.455
31/05/2001,27.62,29.68,27.01,29.34,28.345
30/04/2001,24.85,28.48,24.1,27.89,26.29
30/03/2001,25.7,27.25,23.75,24.74,25.5
28/02/2001,26.55,30.36,25.5,25.57,27.93
31/01/2001,24.4,27.48,24.12,26.66,25.8
29/12/2000,31.88,32.32,22.9,23.87,27.61
30/11/2000,31.1,34,30.32,31.88,32.16
31/10/2000,30.2,35.3,29.42,30.76,32.36
29/09/2000,31.65,34.98,29.25,29.84,32.115
31/08/2000,26.8,32.8,26.73,31.72,29.765
31/07/2000,30.65,31.25,26.65,26.93,28.95
30/06/2000,28.4,31.7,27.58,30.57,29.64
31/05/2000,24.1,29.52,24.05,28.31,26.785
28/04/2000,25,25.22,21.3,23.89,23.26
31/03/2000,28,31.95,24.25,24.77,28.1
29/02/2000,26.1,28.78,25.73,28.09,27.255
31/01/2000,23.9,27.11,23.04,25.97,25.075
31/12/1999,24.25,26.15,23.2,25.08,24.675
30/11/1999,21.85,25.9,21.74,23.64,23.82
29/10/1999,23.72,23.85,20.2,21.69,22.025
30/09/1999,21.2,24.3,20.74,23.58,22.52
31/08/1999,19.28,21.42,19.2,21.33,20.31
30/07/1999,17.55,19.95,17.42,19.37,18.685
30/06/1999,14.95,17.52,14.53,17.51,16.025
31/05/1999,16.7,17.09,14.91,15.2,16
30/04/1999,14.7,16.68,14,16.57,15.34
31/03/1999,10.93,15.28,10.63,15.24,12.955
26/02/1999,11.41,11.45,9.9,10.88,10.675
29/01/1999,10.93,12.33,10.42,11.35,11.375
31/12/1998,10.44,11.3,9.55,10.53,10.425
30/11/1998,13.32,13.45,10.08,10.46,11.765
30/10/1998,14.68,14.9,12.22,13.22,13.56
30/09/1998,12.3,14.9,12.19,14.68,13.545
31/08/1998,13.06,13.06,11.55,12.56,12.305
31/07/1998,13.42,13.7,12.25,13.09,12.975
30/06/1998,15,14.76,12.15,13.38,13.455
29/05/1998,14.56,15.29,13.65,14.37,14.47
30/04/1998,14.2,14.95,13.32,14.46,14.135
31/03/1998,14.3,15.82,11.9,14.26,13.86
27/02/1998,15.95,15.95,13.73,14.17,14.84
30/01/1998,16.8,16.8,14.7,15.96,15.75
31/12/1997,18.44,18.48,16.5,16.52,17.49
28/11/1997,20.45,20.45,18.36,18.94,19.405
31/10/1997,19.82,21.75,19.3,20.02,20.525
30/09/1997,18.5,20.13,18.15,19.9,19.14
29/08/1997,18.76,19.64,18.1,18.51,18.87
31/07/1997,18.54,19.09,17.8,18.94,18.445
30/06/1997,19.31,19.62,17.32,18.51,18.47
30/05/1997,18.42,20.6,17.87,19.4,19.235
30/04/1997,19.06,19.27,17.54,18.52,18.405
31/03/1997,18.95,20.84,18.68,19.38,19.76
28/02/1997,22.45,22.77,18.8,18.85,20.785
31/01/1997,24.5,24.91,22,22.52,23.455
31/12/1996,22.85,24.65,22,23.81,23.325
29/11/1996,22.65,23.99,22.11,22.77,23.05
31/10/1996,22.9,25.06,22.62,22.67,23.84
30/09/1996,21.48,24.39,21.45,23.21,22.92
30/08/1996,19,21,18.79,20.78,19.895
31/07/1996,18.93,20.55,18.67,18.9,19.61
28/06/1996,17.76,19.24,17.48,18.91,18.36
31/05/1996,18.85,19.68,16.78,17.8,18.23
30/04/1996,19.4,23.3,18.08,19.02,20.69
29/03/1996,17.9,20.3,17.2,19.41,18.75
29/02/1996,16.6,18.45,16.43,17.76,17.44
31/01/1996,18.55,19.31,15.93,16.52,17.62
29/12/1995,17.07,18.53,17.06,18.33,17.795
30/11/1995,16.37,17.19,16.21,17.04,16.7
31/10/1995,16.16,16.42,15.58,16.33,16
29/09/1995,16.28,17.04,15.83,16.12,16.435
31/08/1995,16.15,16.51,15.76,16.25,16.135
31/07/1995,16.4,16.4,15.41,16.01,15.905
30/06/1995,17.69,18.23,16.2,16.38,17.215
31/05/1995,19.25,19.38,17.31,17.7,18.345
28/04/1995,17.42,19.17,17.28,19.06,18.225
31/03/1995,16.92,17.6,16.36,17.5,16.98
28/02/1995,16.84,17.57,16.58,16.87,17.075
31/01/1995,16.48,17.08,16.05,16.8,16.565
30/12/1994,17.12,17.16,15.6,16.5,16.38
30/11/1994,16.92,17.94,16.34,17.11,17.14
31/10/1994,17.1,17.32,15.62,16.92,16.47
30/09/1994,16.4,17.2,15.35,17.15,16.275
31/08/1994,18.9,19.41,15.6,16.36,17.505
29/07/1994,17.55,18.68,17.01,18.59,17.845
30/06/1994,16.44,17.75,15.73,17.52,16.74
31/05/1994,15.85,16.79,15.45,16.45,16.12
29/04/1994,14.2,15.87,13.77,15.69,14.82
31/03/1994,13.43,14.16,12.95,13.25,13.555
28/02/1994,14.19,15.13,12.9,13.35,14.015
31/01/1994,13.55,14.58,13.2,14.22,13.89
31/12/1993,14.44,14.62,13.2,13.2,13.91
30/11/1993,15.87,16.41,13.97,14.52,15.19
29/10/1993,17.25,17.48,15.8,15.8,16.64
30/09/1993,17.05,17.57,15.47,17.43,16.52
31/08/1993,16.7,17.55,16.25,17.08,16.9
30/07/1993,17.51,17.51,15.9,16.75,16.705
30/06/1993,18.61,18.77,17.32,17.51,18.045
31/05/1993,19.25,19.3,18.1,18.6,18.7
30/04/1993,18.93,19.24,18.68,19.15,18.96
31/03/1993,18.93,19.68,18.25,18.9,18.965
26/02/1993,18.45,19.2,17.62,18.92,18.41
29/01/1993,18.2,18.69,16.82,18.47,17.755
31/12/1992,18.91,18.93,17.65,18.29,18.29
30/11/1992,19.5,19.7,18.73,18.84,19.215
